# MT3f exact freeze inclusion manifest (TSV)
# schema_version=mt3f-inclusion-manifest-v1
# snapshot_branch=codex/recovered-demo-bundle
# snapshot_head=501d8a6d7d2db48397b355aab592d6ea359ae277
# snapshot_tracked_modified=4
# snapshot_untracked=328
# snapshot_staged=0
# candidate_count=332
# accepted_candidate_count=39
# excluded_candidate_count=293
# control_file=docs/evidence/MT3F_FREEZE_INCLUSION_MANIFEST.tsv
# approved_path_count_with_control_file=40
# control_file_digest=reported externally because a file cannot embed its own SHA-256
# reviewer_verdict=PASS WITH MECHANICAL CORRECTIONS
# packaging_classification=OUT-OF-SCOPE UNTRACKED WIP
# amendment_sha256=f53bcb7df3a3187b840687e03b0b4d071c21a2936bd72cf46d991a5107591021
scope	path	originating_micro_task	git_status	purpose	public_private_classification	decision	sha256	reason
candidate	.freebuff/desktop-v2.db	Freebuff tooling	untracked	Local tool database/state	private_local_state	EXCLUDE	a8a0cc442c2b580c7dc266df5ec6a862555f2e75b987bbef4256b1f310d8ccd3	Machine-local mutable tooling state
candidate	.freebuff/desktop-v2.db-shm	Freebuff tooling	untracked	Local tool database/state	private_local_state	EXCLUDE	27740361ee7588d750686343c7c6b901e72f5f1a9b60984ebbcea83f773ed12d	Machine-local mutable tooling state
candidate	.freebuff/desktop-v2.db-wal	Freebuff tooling	untracked	Local tool database/state	private_local_state	EXCLUDE	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	Machine-local mutable tooling state
candidate	.obsidian/app.json	Obsidian	untracked	Local editor configuration/state	machine_specific_config	EXCLUDE	44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a	Machine-specific editor configuration
candidate	.obsidian/appearance.json	Obsidian	untracked	Local editor configuration/state	machine_specific_config	EXCLUDE	44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a	Machine-specific editor configuration
candidate	.obsidian/core-plugins.json	Obsidian	untracked	Local editor configuration/state	machine_specific_config	EXCLUDE	763cf20a921fd9955735b278006820b90b207b2fc04d9e79ca648279c7c14276	Machine-specific editor configuration
candidate	.obsidian/graph.json	Obsidian	untracked	Local editor configuration/state	machine_specific_config	EXCLUDE	162e8309d4a7d8f301618c0c302b4a51a4c3f657a6c198610fc09f903f4110af	Machine-specific editor configuration
candidate	.obsidian/workspace.json	Obsidian	untracked	Local editor configuration/state	machine_specific_config	EXCLUDE	39c7e3963191f04263bf8f7be8f8f811c34a9a18827309d85c3b36df606c34ee	Machine-specific editor configuration
candidate	README.md	MT1	tracked_modified	Public claim and evidence boundary	public_safe	INCLUDE	e74b15e9a068caf18bbcbc3ba7269cd615b1b03f5a8d2f3044ff7e1f6fb87d6f	Required accepted MT1-MT3e/MT3f reproducibility or review evidence
candidate	docs/evidence/CLAIM_TO_EVIDENCE_MATRIX.md	MT1	tracked_modified	Claim-to-evidence status matrix	public_safe	INCLUDE	0be9fc4ec066a3120cebefdb6615bddf625cfc8b1e842751fbf9c41115c5a85b	Required accepted MT1-MT3e/MT3f reproducibility or review evidence
